Symbol,Asset class,Type,Region,Revenue,Earnings,Earnings_Ratio,Total_Holding_Percent,maxAge_x,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,maxAge_y
IICE.TO,Equity,Responsible Investing,Global,865343651754.9595,97712182103.411,11.291719989537786,0.6930349979999999,1,2,22.99,23.16,23.16,23.16,22.99,23.16,23.16,23.16,19.830677,10,10,305,20,20,23.04,23.12,,,0.0227,39132472.0,18.79,23.16,22.625,21.2479,,,22.9187,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
DRMD.TO,Equity,Responsible investing,Global,603578785454.7994,67892993852.25,11.248406254221196,0.519340198,1,2,25.38,25.42,25.42,25.42,25.38,25.42,25.42,25.42,16.93899,310,310,551,620,620,25.38,25.48,,,0.1296,3685424.0,24.56,28.66,26.94,26.638714,,,25.403,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
XBM.TO,Equity,Materials,Global,11486699614.444996,1246034674.6145,10.847630010691324,2.7739479919999996,1,2,22.31,21.96,21.7,22.09,22.31,21.96,21.7,22.09,11.2729,37413,37413,28603,21830,21830,22.07,22.1,0.0,0.0,0.013300001,299012288.0,16.33,24.72,22.3518,19.5762,,,22.2888,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
ICLN,Equity,Responsible investing,Global,124352633621.07076,13377950361.906364,10.758075621198229,2.091122824,1,2,13.85,13.85,13.8,14.09,13.85,13.85,13.8,14.09,15.168989,4398141,4398141,2999290,3652100,3652100,13.08,14.09,100.0,200.0,0.0163,2124108672.0,12.72,19.22,14.2078,14.0463,0.0,0.0,13.8833,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
QQEQ.TO,Equity,Equal Weight,US,2321720751.186792,245436112.988753,10.571302033773598,0.43479280200000014,1,2,26.97,27.22,27.22,27.22,26.97,27.22,27.22,27.22,32.49651,100,100,812,276,276,27.25,27.28,,,0.0085,11670569.0,21.25,27.22,26.1944,24.86205,,,26.9673,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
VHT,Equity,Healthcare,US,49395575636.088005,5070920167.713999,10.265940020768229,1.9686359839999992,1,2,271.29,273.04,272.84,275.66,271.29,273.04,272.84,275.66,24.982668,156662,156662,137437,147420,147420,275.32,275.3,800.0,900.0,0.0134000005,20601036800.0,222.27,275.66,264.9506,254.17226,2.846,0.010490619,271.22,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
DWX,Equity,Dividend,Global,193295479576.9603,19480966598.47954,10.078335324299823,0.5633790059999999,1,2,35.4825,35.39,35.39,35.64,35.4825,35.39,35.39,35.64,14.368067,22076,22076,35990,44110,44110,35.61,35.64,1100.0,900.0,0.0421,414967776.0,31.8,35.99,35.147,34.5268,0.0,0.0,35.68274,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
VDE,Equity,Energy,US,121694452751.35402,12081398786.890001,9.927649546668082,2.548631171999999,1,2,129.42,128.87,128.2,130.07,129.42,128.87,128.2,130.07,8.326123,325062,325062,362081,279990,279990,129.85,129.87,800.0,1300.0,0.03,10294762496.0,110.51,137.92,127.9604,123.6036,2.469,0.019077424,129.37,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
PPLN.TO,Equity,Energy,CA,12201653449.843855,1134009595.4488149,9.293901028334211,3.4309163760000003,1,2,10.71,10.77,10.77,10.77,10.71,10.77,10.77,10.77,,869,869,2723,1140,1140,10.74,10.78,,,0.0365,30228572.0,9.35,11.14,10.5944,10.45275,,,10.6945,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
VIS,Equity,Industrials,US,14772487047.805996,1271287004.3969998,8.6057750484595,1.0566391959999997,1,2,242.39,243.56,243.762,249.4257,242.39,243.56,243.762,249.4257,26.201365,77545,77545,75709,57450,57450,249.05,249.05,900.0,1000.0,0.013200001,5462233088.0,183.29,249.4257,238.073,222.5316,2.202,0.009084533,242.37,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
IXN,Equity,Information technology,Global,5476344272876.729,462122424030.87585,8.438520315818685,2.523328431999999,1,2,86.23,86.66,85.67,86.7693,86.23,86.66,85.67,86.7693,39.929325,136186,136186,209829,172980,172980,86.07,86.14,1100.0,1000.0,0.0045,5147446272.0,56.3,88.1,79.8628,70.86555,0.359,0.004163284,86.31452,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
IUAE.TO,Equity,Responsible Investing,US,63966525025.299995,5347506943.2,8.359852190008692,1.5904956000000003,1,2,22.43,22.5,22.48,22.5,22.43,22.5,22.48,22.5,,200,200,134,260,260,22.76,22.77,,,0.0161,19281292.0,18.97,22.58,22.251,21.0967,0.0,0.0,22.4101,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
QQJE.TO,Equity,Responsible Investing,US,2024587808.9517744,161900214.607327,7.996700063661377,1.0049956039999999,1,2,19.19,19.29,19.29,19.29,19.19,19.29,19.29,19.29,23.298218,100,100,84,40,40,19.53,19.56,,,0.0046,1749085.0,15.56,19.29,18.5762,17.53905,,,19.1773,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
PXF,Equity,All cap,Global,4914211672599.949,390139827313.9501,7.939011448962267,0.4414431999999999,1,2,50.3,50.17,50.27,50.7,50.3,50.17,50.27,50.7,11.82121,30575,30575,59640,85930,85930,50.53,50.75,800.0,900.0,0.0346,1663596800.0,41.5,51.36,49.9452,47.27215,,,50.61,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
COW.TO,Equity,Agriculture,Global,21253264719.498096,1591444737.2484996,7.4880012941657945,2.651134400000002,1,2,61.01,61.01,61.01,62.62,61.01,61.01,61.01,62.62,7.517933,10634,10634,4182,2510,2510,62.59,62.72,0.0,0.0,0.0134000005,281247200.0,58.14,66.02,61.5036,61.44925,,,60.97722,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
VCR,Equity,Consumer discretionary,US,155320325780.294,11496162423.430998,7.401582739204861,2.1988867959999987,1,2,325.19,327.61,327.61,332.2,325.19,327.61,327.61,332.2,30.602694,114209,114209,53270,62920,62920,331.85,332.0,800.0,800.0,0.0084,6027774976.0,247.52,332.2,310.4388,297.38586,0.0,0.0,325.4,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
XUT.TO,Equity,Utilities,CA,8721173396.903843,642828394.10157,7.370893397553413,3.5742496759999987,1,2,25.86,25.92,25.83,26.07,25.86,25.92,25.83,26.07,22.8101,89126,89126,257998,251440,251440,26.02,26.03,0.0,0.0,0.0396,267389152.0,22.51,27.97,25.5646,24.9666,,,25.84912,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
DRME.TO,Equity,Responsible investing,Emerging,11579691498136.371,839150401103.0753,7.246742292211565,0.9921180999999998,1,2,18.12,18.18,18.18,18.18,18.12,18.18,18.18,18.18,12.592394,1000,1000,1593,3090,3090,18.18,18.23,,,0.0274,60718692.0,15.3,18.27,17.6448,16.803143,,,18.189,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
ESGE,Equity,Responsible investing,Emerging,12007090189774.418,862844038745.1572,7.186121076028727,1.1155555960000005,1,2,34.73,34.8,34.76,34.955,34.73,34.8,34.76,34.955,12.778201,614753,614753,651437,618570,618570,34.93,34.95,7000.0,200.0,0.025999999,4229506048.0,29.12,35.225,33.655,31.876,0.0,0.0,34.71464,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
SDG,Equity,Responsible investing,Global,317390234113.63837,22325632416.29703,7.034127082909414,1.245724992,1,2,77.58,77.38,77.12,78.13,77.58,77.38,77.12,78.13,13.506015,82710,82710,15716,15450,15450,77.56,79.19,500.0,500.0,0.0207,248137408.0,70.183,82.95,78.1732,76.86205,,,77.89658,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
BFIT,Equity,Thematic,Global,3028017620.4429526,201667570.36507398,6.66005273561034,1.3322742160000003,1,2,21.39,21.51,21.39,21.51,21.39,21.51,21.39,21.51,17.268147,1119,1119,1284,1141,1141,0.0,0.0,1000.0,1100.0,0.0165,,19.92,23.51,21.879133,21.858004,,,21.53,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
VDC,Equity,Consumer staples,US,109227612712.36002,6531028938.133998,5.979283787271639,2.4508620279999995,1,2,204.08,204.13,204.085,206.06,204.08,204.13,204.085,206.06,26.158257,60005,60005,84991,85300,85300,205.79,205.85,800.0,800.0,0.0257,7866527744.0,172.75,209.7,205.1592,194.61845,0.0,0.0,203.91,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
XIT.TO,Equity,Technology,CA,7738934651.62413,429234780.4531641,5.546432419649426,3.827520395999997,1,2,53.84,54.34,54.34,55.6,53.84,54.34,54.34,55.6,51.426044,27101,27101,19446,9940,9940,55.55,55.61,0.0,0.0,0.0,616268800.0,40.33,57.0,51.2474,51.0176,0.023,0.00042719167,53.90015,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
XCS.TO,Equity,Small cap,CA,238434534.79850706,12567288.166255997,5.270749967858551,0.524679596,1,2,20.35,20.4,20.33,20.61,20.35,20.4,20.33,20.61,8.646593,7003,7003,10885,12800,12800,20.56,20.61,0.0,0.0,0.024500001,141328224.0,16.48,20.61,19.6162,18.4134,,,20.33602,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
IDNA,Equity,Thematic,Global,180230588439.13828,6568040430.432701,3.644242904223025,1.6499857759999996,1,2,24.73,24.67,24.67,25.3,24.73,24.67,24.67,25.3,2.4557073,34224,34224,25324,34700,34700,25.17,25.23,1100.0,800.0,0.0121,135508752.0,17.33,25.3,23.77648,22.335585,,,24.72401,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
XST.TO,Equity,Consumer staples,CA,43842204461.99761,1529153553.7007005,3.4878573567763222,3.9478899920000003,1,2,102.38,102.19,102.19,102.19,102.38,102.19,102.19,102.19,20.718817,24840,24840,3548,3270,3270,102.55,102.61,0.0,0.0,0.0087,213567776.0,82.1,103.01,97.577,91.77075,,,102.35686,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
